species	chr_length	gc_ref	Umwelt2_1_S20_R1	Umwelt2_2_S21_R1	Umwelt2_3_S93_R1	Umwelt2_4_S94_R1	Umwelt2_5_S95_R1
1_CP014234_1_Moraxella_osloensis_strain_CCUG_350__complete_genome_BAC	2434688.0	43.85	489.74	4031.24	0.0	0.0	40.73
1_CP020442_2_Paracoccus_yeei_strain_FDAARGOS_252_chromosome__complete_genome_BAC	3622127.0	67.18	120.69	687.45	0.0	0.0	0.0
1_CP012647_1_Cutibacterium_acnes_strain_KCOM_1861____ChDC_B594__chromosome__complete_genome_BAC	2522438.0	59.99	234.54	361.22	0.0	159.09	349.83
1_1_1_2	242193529.0	40.23	2.23	1.92	2.58	2.13	2.21
1_1_1_1	248956422.0	41.72	1.82	2.24	3.14	2.03	1.92
1_1_1_3	198295559.0	39.67	2.21	2.22	0.0	2.26	2.21
1_1_1_4	190214555.0	38.24	2.21	2.11	0.0	2.11	2.11
1_1_1_5	181538259.0	39.51	2.23	2.21	0.0	2.21	2.35
1_1_1_6	170805979.0	39.61	2.42	2.35	0.0	2.22	1.9
1_1_1_7	159345973.0	40.7	2.4	2.22	0.0	1.94	2.05
1_1_1_8	145138636.0	40.16	2.33	2.26	0.0	2.29	2.23
1_1_1_11	135086622.0	41.54	2.21	2.26	0.0	1.82	2.18
1_1_1_12	133275309.0	40.77	2.12	2.19	0.0	1.89	2.37
1_1_1_10	133797422.0	41.54	2.06	2.22	0.0	2.7	2.17
1_CP016616_1_Microvirga_ossetica_strain_V5_3M_chromosome__complete_genome_BAC	5843140.0	63.49	1.42	12.02	1189.96	0.0	193.82
1_CP007440_1_Rhodoplanes_sp__Z2_YC6860__complete_genome_BAC	8193889.0	63.53	1.17	6.93	610.21	123.84	126.29
1_1_1_9	138394717.0	41.28	1.75	1.8	0.0	1.82	1.83
1_1_1_X	156040895.0	39.53	1.61	1.38	0.0	1.65	1.75
1_CP001854_1_Conexibacter_woesei_DSM_14684__complete_genome_BAC	6359369.0	72.73	4.9	14.07	611.18	58.6	136.73
1_CP042968_1_Bradyrhizobium_paxllaeri_strain_LMTR_21_chromosome__complete_genome_BAC	8377719.0	62.51	0.0	4.36	780.99	67.06	97.1
1_1_1_13	114364328.0	38.55	1.92	1.85	0.0	2.31	1.72
1_CP015136_1_Luteitalea_pratensis_strain_DSM_100886__partial_sequence_BAC	7480314.0	67.22	0.0	8.75	177.55	95.03	124.88
1_CP016428_1_Bradyrhizobium_icense_strain_LMTR_13__complete_genome_BAC	8322773.0	62.03	0.0	3.24	680.55	59.24	82.2
1_1_1_14	107043718.0	40.83	1.97	1.61	0.0	1.55	1.84
1_1_1_17	83257441.0	45.32	1.93	2.08	0.0	2.82	1.8
1_1_1_18	80373285.0	39.78	1.99	2.0	0.0	1.5	2.34
1_1_1_16	90338345.0	44.58	1.69	1.79	0.0	1.46	1.85
1_1_1_15	101991189.0	42.03	1.53	1.43	0.0	1.52	1.4
