species,chr_length,read_count,gc_ref,reads_per_million_ref_bases,reads_per_million_reads_in_experiment,RPMM,bacteria_per_human_cell
1_CP014234_1_Moraxella_osloensis_strain_CCUG_350__complete_genome_BAC,2434688,2872,43.85408,1179.61630,84001.16993,34502.64296,489.73812
1_CP012647_1_Cutibacterium_acnes_strain_KCOM_1861____ChDC_B594__chromosome__complete_genome_BAC,2522438,1425,59.98621,564.92920,41678.85347,16523.65492,234.54013
1_CP020442_2_Paracoccus_yeei_strain_FDAARGOS_252_chromosome__complete_genome_BAC,3622127,1053,67.17766,290.71292,30798.47909,8502.90698,120.69450
1_AE015929_1_Staphylococcus_epidermidis_ATCC_12228__complete_genome_BAC,2499279,162,32.09518,64.81867,4738.22755,1895.84552,26.91059
1_CP001778_1_Stackebrandtia_nassauensis_DSM_44728__complete_genome_BAC,6841557,408,68.13394,59.63552,11933.31383,1744.26061,24.75872
1_CP020618_1_Staphylococcus_hominis_subsp__hominis_strain_K1_chromosome__complete_genome_BAC,2253412,129,31.35787,57.24657,3773.03305,1674.45483,23.76691
1_CP020612_1_Paracoccus_contaminans_strain_RKI_16_01929T_LMG_29738T_CCM_8701T_CIP_111112T_chromosome__complete_genome_BAC,2939512,165,68.67793,56.13180,4825.97251,1641.79104,23.30409
1_CP010827_1_Corynebacterium_singulare_strain_IBS_B52218__complete_genome_BAC,2830519,147,60.11869,51.93392,4299.50278,1518.90887,21.56127
1_CP002593_1_Pseudonocardia_dioxanivorans_CB1190__complete_genome_BAC,7096571,361,73.30953,50.86965,10558.64288,1487.86218,21.11941
1_CP010989_1_Pseudonocardia_sp__EC080625_04__complete_genome_BAC,6135769,289,73.83637,47.10085,8452.76397,1377.63371,19.55473
1_CP009110_1_Amycolatopsis_methanolica_239__complete_genome_BAC,7237391,316,71.52720,43.66215,9242.46856,1277.02566,18.12710
1_AM420293_1_Saccharopolyspora_erythraea_NRRL2338_complete_genome_BAC,8212805,317,71.14596,38.59829,9271.71688,1128.91738,16.02475
1_CP001683_1_Saccharomonospora_viridis_DSM_43017__complete_genome_BAC,4308349,121,67.31514,28.08500,3539.04650,821.45282,11.65997
1_CP016353_1_Prauserella_marina_strain_DSM_45268_chromosome__complete_genome_BAC,6851918,190,67.58951,27.72945,5557.18046,811.03001,11.51236
1_CP012605_1_Ralstonia_insidiosa_strain_FC1138_chromosome_1__complete_sequence_BAC,3968071,101,63.60884,25.45318,2954.08014,744.45345,10.56733
1_AP009152_1_Kocuria_rhizophila_DC2201_DNA__complete_genome_BAC,2697540,68,71.16380,25.20815,1988.88564,737.28722,10.46560
1_CP007155_1_Kutzneria_albida_DSM_43870__complete_genome_BAC,9874926,242,70.59602,24.50650,7078.09301,716.78218,10.17430
1_FO203431_1_Modestobacter_marinus_str__BC501_chromosome__complete_genome_BAC,5575517,133,74.13113,23.85428,3890.02632,697.68662,9.90352
1_CP010350_1_Acinetobacter_johnsonii_XBB1__complete_genome_BAC,3509795,83,41.43082,23.64807,2427.61041,691.66667,9.81791
1_CP002000_1_Amycolatopsis_mediterranei_U32__complete_genome_BAC,10236715,229,71.29279,22.37045,6697.86487,654.30441,9.28748
1_CP022752_1_Actinopolyspora_erythraea_strain_YIM_90600_chromosome__complete_genome_BAC,5243930,114,68.78038,21.73942,3334.30828,635.84137,9.02550
1_CP013290_1_Janibacter_indicus_strain_YFY001__complete_genome_BAC,3401189,73,71.24488,21.46308,2135.12723,627.74099,8.91077
1_CP024894_1_Amycolatopsis_sp__AA4_chromosome__complete_genome_BAC,8800179,180,69.75381,20.45413,5264.69728,598.24515,8.49188
1_CP020382_1_Rhodothermaceae_bacterium_RA_chromosome__complete_genome_BAC,4653222,94,68.25851,20.20107,2749.34191,590.86052,8.38682
1_FO117623_1_Blastococcus_saxobsidens_DD2_complete_genome_BAC,4875340,94,72.94800,19.28071,2749.34191,563.92105,8.00472
1_HE804045_1_Saccharothrix_espanaensis_DSM_44229_complete_genome_BAC,9360653,169,72.19006,18.05430,4942.96578,528.05899,7.49556
1_CP017420_1_Delftia_tsuruhatensis_strain_CM13__complete_genome_BAC,7195716,115,66.33471,15.98172,3363.55660,467.44167,6.63509
1_CP001867_1_Geodermatophilus_obscurus_DSM_43160__complete_genome_BAC,5322497,83,73.98411,15.59418,2427.61041,456.09408,6.47419
1_CP007601_1_Staphylococcus_capitis_subsp__capitis_strain_AYP1020__complete_genome_BAC,2443604,37,32.99790,15.14159,1082.18777,442.84859,6.28629
1_CP016889_1_Pantoea_agglomerans_strain_C410P1_chromosome__complete_genome_BAC,4182028,61,55.53758,14.58622,1784.14741,426.63310,6.05572
1_CP000159_1_Salinibacter_ruber_DSM_13855__complete_genome_BAC,3551823,51,66.21673,14.35884,1491.66423,419.96047,5.96132
1_CP001807_1_Rhodothermus_marinus_DSM_4252__complete_genome_BAC,3261604,46,64.53711,14.10351,1345.42264,412.51906,5.85532
1_CP000509_1_Nocardioides_sp__JS614__complete_genome_BAC,4985871,70,71.65195,14.03968,2047.38228,410.62944,5.82881
1_CP000023_1_Streptococcus_thermophilus_LMG_18311__complete_genome_BAC,1796846,25,39.09166,13.91324,731.20796,406.96728,5.77632
1_CP016793_1_Lentzea_guizhouensis_strain_DHS_C013_chromosome__complete_genome_BAC,9997872,137,70.00561,13.70292,4007.01960,400.78402,5.68900
1_CP006958_1_UNVERIFIED__Achromobacter_xylosoxidans_NBRC_15126___ATCC_27061__complete_genome_BAC,6683584,91,67.53203,13.61546,2661.59696,398.23202,5.65269
1_AE003852_1_Vibrio_cholerae_O1_biovar_eltor_str__N16961_chromosome_I__complete_sequence_BAC,2961149,39,47.69496,13.17056,1140.68441,385.22323,5.46799
1_CP012752_1_Kibdelosporangium_phytohabitans_strain_KLBMP1111__complete_genome_BAC,11759770,153,68.44155,13.01046,4474.99269,380.53075,5.40152
1_CP001736_1_Kribbella_flavida_DSM_17836__complete_genome_BAC,7579488,97,70.56791,12.79769,2837.08687,374.31504,5.31318
1_CP015079_1_Nocardioides_dokdonensis_FR1436__complete_genome_BAC,4376707,52,72.25585,11.88107,1520.91255,347.50067,4.93263
1_CP001854_1_Conexibacter_woesei_DSM_14684__complete_genome_BAC,6359369,75,72.73343,11.79362,2193.62387,344.93860,4.89633
1_CP014989_1_Serinicoccus_sp__JLT9__complete_genome_BAC,3597394,42,72.42584,11.67513,1228.42937,341.49118,4.84713
1_CP001874_1_Thermobispora_bispora_DSM_43833__complete_genome_BAC,4189976,48,72.42917,11.45590,1403.91927,335.05514,4.75612
1_CP022521_1_Actinoalloteichus_hoggarensis_strain_DSM_45943_chromosome__complete_genome_BAC,6606717,74,71.14729,11.20072,2164.37555,327.60758,4.65017
1_CP022961_1_Plantactinospora_sp__KBS50_chromosome__complete_genome_BAC,6689726,72,72.90642,10.76277,2105.87891,314.79538,4.46835
1_AE008922_1_Xanthomonas_campestris_pv__campestris_str__ATCC_33913__complete_genome_BAC,5076188,54,65.06856,10.63790,1579.40918,311.14952,4.41651
1_CP009896_1_Pimelobacter_simplex_strain_VKM_Ac_2033D__complete_genome_BAC,5637360,58,72.85020,10.28850,1696.40246,300.92352,4.27145
1_CP001737_1_Nakamurella_multipartita_DSM_44233_chromosome__complete_genome_BAC,6060298,62,70.91646,10.23052,1813.39573,299.22780,4.24738
1_CP000489_1_Paracoccus_denitrificans_PD1222_chromosome_1__complete_sequence_BAC,2852282,29,66.70638,10.16730,848.20123,297.37490,4.22113
1_CP009248_1_Corynebacterium_sphenisci_DSM_44792__complete_genome_BAC,2594799,26,74.72960,10.02004,760.45627,293.05681,4.15999
1_CP012507_1_Kocuria_palustris_strain_MU14_1__complete_genome_BAC,2854447,27,70.49786,9.45892,789.70459,276.66769,3.92703
1_CP016174_1_Amycolatopsis_orientalis_strain_B_37__complete_genome_BAC,9490992,89,68.82992,9.37731,2603.10032,274.26810,3.89315
1_CP002040_1_Nocardiopsis_dassonvillei_subsp__dassonvillei_DSM_43111_chromosome_1__complete_sequence_BAC,5767958,53,72.82924,9.18869,1550.16087,268.74905,3.81484
1_CP006704_1_Comamonas_testosteroni_TK102__complete_genome_BAC,6062703,55,61.87229,9.07187,1608.65750,265.34157,3.76634
1_CP015615_1_Acinetobacter_schindleri_strain_ACE__complete_genome_BAC,3001209,27,42.85846,8.99637,789.70459,263.13225,3.73500
1_AP006716_1_Staphylococcus_haemolyticus_JCSC1435_DNA__complete_genome_BAC,2685015,24,32.79259,8.93848,701.95964,261.43791,3.71097
1_CP017717_1_Nonomuraea_sp__ATCC_55076_chromosome__complete_genome_BAC,13047416,116,71.80866,8.89065,3392.80491,260.03721,3.69111
1_CP001738_1_Thermomonospora_curvata_DSM_43183__complete_genome_BAC,5639016,50,71.64202,8.86679,1462.41591,259.33610,3.68120
1_CP002026_1_Starkeya_novella_DSM_506__complete_genome_BAC,4765023,42,67.88473,8.81423,1228.42937,257.79524,3.65938
1_CP022753_1_Nocardiopsis_gilva_YIM_90087_chromosome__complete_genome_BAC,6142152,54,69.65204,8.79171,1579.40918,257.14286,3.65003
1_AP006618_1_Nocardia_farcinica_IFM_10152_DNA__complete_genome_BAC,6021225,52,70.83343,8.63612,1520.91255,252.58658,3.58544
1_AE004091_2_Pseudomonas_aeruginosa_PAO1__complete_genome_BAC,6264404,53,66.55573,8.46051,1550.16087,247.45541,3.51253
1_CP008889_1_Dermacoccus_nishinomiyaensis_strain_M25__complete_genome_BAC,3029021,25,69.12715,8.25349,731.20796,241.40595,3.42658
1_AP014630_1_Acinetobacter_guillouiae_DNA__complete_geonome__strain__NBRC_110550_BAC,4648418,38,38.27636,8.17482,1111.43609,239.09897,3.39392
1_CP008913_1_Corynebacterium_sp__ATCC_6931__complete_genome_BAC,2471920,20,58.62722,8.09088,584.96636,236.65838,3.35907
1_HG916826_1_Pseudomonas_pseudoalcaligenes_CECT_5344_complete_genome_BAC,4686340,37,62.34244,7.89529,1082.18777,230.91806,3.27787
1_CP007128_1_Gemmatirosa_kalamazoonesis_strain_KBS708__complete_genome_BAC,5311527,41,72.56090,7.71906,1199.18105,225.77093,3.20470
1_CP001618_1_Beutenbergia_cavernae_DSM_12333__complete_genome_BAC,4669183,36,73.11658,7.71013,1052.93946,225.50739,3.20100
1_CP019041_1_Acinetobacter_junii_strain_65__complete_genome_BAC,3378307,26,38.63669,7.69616,760.45627,225.10823,3.19519
1_CP011502_1_Aeromicrobium_erythreum_strain_AR18__complete_genome_BAC,3629239,27,72.13777,7.43957,789.70459,217.60155,3.08867
1_CP014030_2_Citrobacter_sp__FDAARGOS_156_strain_FDAARGOS_155_chromosome__complete_genome_BAC,4727498,35,51.92946,7.40349,1023.69114,216.54396,3.07369
1_CP000453_1_Alkalilimnicola_ehrlichii_MLHE_1__complete_genome_BAC,3275944,24,67.53125,7.32614,701.95964,214.28571,3.04157
1_AP014936_1_Sulfurifustis_variabilis_DNA__complete_genome__strain__skN76_BAC,3958814,29,67.45874,7.32543,848.20123,214.25933,3.04128
1_CP002568_1_Polymorphum_gilvum_SL003B_26A1__complete_genome_BAC,4649365,34,67.21817,7.31282,994.44282,213.89029,3.03604
