species,chr_length,read_count,gc_ref,reads_per_million_ref_bases,reads_per_million_reads_in_experiment,RPMM,bacteria_per_human_cell
1_CP012647_1_Cutibacterium_acnes_strain_KCOM_1861____ChDC_B594__chromosome__complete_genome_BAC,2522438,70,59.98621,27.75091,12773.72263,5061.46059,159.08953
1_CP007440_1_Rhodoplanes_sp__Z2_YC6860__complete_genome_BAC,8193889,177,63.52644,21.60146,32299.27007,3940.33838,123.83618
1_CP015136_1_Luteitalea_pratensis_strain_DSM_100886__partial_sequence_BAC,7480314,124,67.22144,16.57685,22627.73723,3023.65277,95.03126
1_CP021106_3_Nitrosospira_lacus_strain_APG3__complete_genome_BAC,3261088,48,53.64280,14.71900,8759.12409,2684.56376,84.38065
1_CP001849_1_Gardnerella_vaginalis_409_05__complete_genome_BAC,1617545,21,42.01633,12.98268,3832.11679,2367.53100,74.42668
1_CP042968_1_Bradyrhizobium_paxllaeri_strain_LMTR_21_chromosome__complete_genome_BAC,8377719,98,62.51106,11.69769,17883.21168,2133.68169,67.06017
1_CP016428_1_Bradyrhizobium_icense_strain_LMTR_13__complete_genome_BAC,8322773,86,62.02534,10.33310,15693.43066,1884.72496,59.23726
1_CP001854_1_Conexibacter_woesei_DSM_14684__complete_genome_BAC,6359369,65,72.73343,10.22114,11861.31387,1864.60126,58.59542
1_CP007128_1_Gemmatirosa_kalamazoonesis_strain_KBS708__complete_genome_BAC,5311527,51,72.56090,9.60175,9306.56934,1751.37363,55.04463
1_CP021112_1_Pseudorhodoplanes_sinuspersici_strain_RIPI110_chromosome__complete_genome_BAC,5971615,51,60.31568,8.54040,9306.56934,1557.72755,48.96011
1_CP006958_1_UNVERIFIED__Achromobacter_xylosoxidans_NBRC_15126___ATCC_27061__complete_genome_BAC,6683584,54,67.53203,8.07950,9854.01460,1473.79913,46.31792
1_AP012057_1_Ilumatobacter_coccineus_YM16_304_DNA__complete_genome_BAC,4830181,32,67.29245,6.62501,5839.41606,1208.45921,37.97966
1_CP012946_1_Blastochloris_viridis_strain_ATCC_19567__complete_genome_BAC,3724841,24,67.93294,6.44323,4379.56204,1175.31832,36.93754
1_CP000509_1_Nocardioides_sp__JS614__complete_genome_BAC,4985871,28,71.65195,5.61587,5109.48905,1024.51518,32.19449
1_CP011801_1_Nitrospira_moscoviensis_strain_NSP_M_1__complete_genome_BAC,4589485,25,61.98695,5.44724,4562.04380,993.64070,31.22777
1_CP000251_1_Anaeromyxobacter_dehalogenans_2CP_C__complete_genome_BAC,5013479,26,74.90527,5.18602,4744.52555,946.14265,29.73024
1_CP000747_1_Phenylobacterium_zucineum_HLK1__complete_genome_BAC,3996255,20,71.34637,5.00468,3649.63504,912.82519,28.69067
1_CP000250_1_Rhodopseudomonas_palustris_HaA2__complete_genome_BAC,5331656,26,66.03838,4.87653,4744.52555,889.49709,27.95602
1_CP000319_1_Nitrobacter_hamburgensis_X14__complete_genome_BAC,4406967,21,61.71378,4.76518,3832.11679,869.20530,27.31767
1_CP001804_1_Haliangium_ochraceum_DSM_14365__complete_genome_BAC,9446314,42,69.48339,4.44618,7664.23358,811.12399,25.48892
1_CP019082_1_Paludisphaera_borealis_strain_PX4__complete_genome_BAC,7497544,32,66.31876,4.26807,5839.41606,778.58881,24.46784
1_CP011125_1_Sandaracinus_amylolyticus_strain_DSM_53668__complete_genome_BAC,10327335,43,72.03592,4.16371,7846.71533,759.58311,23.86956
1_AP012320_1_Rubrivivax_gelatinosus_IL144_DNA__complete_genome_BAC,5043253,21,71.24314,4.16398,3832.11679,759.49367,23.87114
1_CP000473_1_Candidatus_Solibacter_usitatus_Ellin6076_chromosome__complete_genome_BAC,9965640,40,61.90246,4.01379,7299.27007,732.19843,23.01014
1_CP000769_1_Anaeromyxobacter_sp__Fw109_5__complete_genome_BAC,5277990,21,73.53140,3.97879,3832.11679,725.89008,22.80947
1_BA000040_2_Bradyrhizobium_diazoefficiens_USDA_110_DNA__complete_genome_BAC,9105828,35,64.05938,3.84369,6386.86131,701.12179,22.03499
1_CP015318_1_Mesorhizobium_amorphae_CCNWGS0123__complete_genome_BAC,6268270,24,63.43597,3.82881,4379.56204,698.48661,21.94967
1_CP011271_1_Gemmata_sp__SH_PL17__complete_genome_BAC,9045424,29,64.22442,3.20604,5291.97080,584.79532,18.37950
