species	chr_length	gc_ref	Umwelt2_1_S20_R1	Umwelt2_2_S21_R1	Umwelt2_3_S93_R1	Umwelt2_4_S94_R1	Umwelt2_5_S95_R1
1_CP014234_1_Moraxella_osloensis_strain_CCUG_350__complete_genome_BAC	2434688.0	43.85	1179.62	4189.86	0.0	0.0	28.34
1_CP020442_2_Paracoccus_yeei_strain_FDAARGOS_252_chromosome__complete_genome_BAC	3622127.0	67.18	290.71	714.5	0.0	0.0	0.0
1_CP012647_1_Cutibacterium_acnes_strain_KCOM_1861____ChDC_B594__chromosome__complete_genome_BAC	2522438.0	59.99	564.93	375.43	0.0	27.75	243.42
1_1_1_2	242193529.0	40.23	5.36	2.0	0.13	0.37	1.54
1_1_1_1	248956422.0	41.72	4.39	2.33	0.16	0.35	1.33
1_1_1_3	198295559.0	39.67	5.32	2.31	0.0	0.39	1.54
1_1_1_4	190214555.0	38.24	5.32	2.2	0.0	0.37	1.47
1_1_1_5	181538259.0	39.51	5.38	2.3	0.0	0.39	1.64
1_1_1_6	170805979.0	39.61	5.83	2.45	0.0	0.39	1.32
1_1_1_7	159345973.0	40.7	5.78	2.3	0.0	0.34	1.42
1_1_1_8	145138636.0	40.16	5.62	2.35	0.0	0.4	1.55
1_1_1_11	135086622.0	41.54	5.33	2.35	0.0	0.32	1.52
1_1_1_12	133275309.0	40.77	5.12	2.27	0.0	0.33	1.65
1_1_1_10	133797422.0	41.54	4.96	2.31	0.0	0.47	1.51
1_CP016616_1_Microvirga_ossetica_strain_V5_3M_chromosome__complete_genome_BAC	5843140.0	63.49	3.42	12.49	60.93	0.0	134.86
1_CP007440_1_Rhodoplanes_sp__Z2_YC6860__complete_genome_BAC	8193889.0	63.53	2.81	7.2	31.24	21.6	87.87
1_1_1_9	138394717.0	41.28	4.23	1.87	0.0	0.32	1.27
1_1_1_X	156040895.0	39.53	3.87	1.43	0.0	0.29	1.22
1_CP001854_1_Conexibacter_woesei_DSM_14684__complete_genome_BAC	6359369.0	72.73	11.79	14.62	31.29	10.22	95.14
1_CP042968_1_Bradyrhizobium_paxllaeri_strain_LMTR_21_chromosome__complete_genome_BAC	8377719.0	62.51	0.0	4.54	39.99	11.7	67.56
1_1_1_13	114364328.0	38.55	4.63	1.92	0.0	0.4	1.2
1_CP015136_1_Luteitalea_pratensis_strain_DSM_100886__partial_sequence_BAC	7480314.0	67.22	0.0	9.09	9.09	16.58	86.89
1_CP016428_1_Bradyrhizobium_icense_strain_LMTR_13__complete_genome_BAC	8322773.0	62.03	0.0	3.36	34.84	10.33	57.19
1_1_1_14	107043718.0	40.83	4.76	1.67	0.0	0.27	1.28
1_1_1_17	83257441.0	45.32	4.65	2.16	0.0	0.49	1.25
1_1_1_18	80373285.0	39.78	4.79	2.08	0.0	0.26	1.63
1_1_1_16	90338345.0	44.58	4.07	1.86	0.0	0.25	1.28
1_1_1_15	101991189.0	42.03	3.7	1.49	0.0	0.26	0.97
1_1_1_20	64444167.0	43.8	4.92	2.48	0.0	0.39	1.82
1_1_1_19	58617616.0	47.94	4.49	2.54	0.0	0.46	1.42
1_CP011271_1_Gemmata_sp__SH_PL17__complete_genome_BAC	9045424.0	64.22	0.0	6.74	7.52	3.21	34.6
1_CP007128_1_Gemmatirosa_kalamazoonesis_strain_KBS708__complete_genome_BAC	5311527.0	72.56	7.72	10.35	24.85	9.6	27.3
