species	chr_length	gc_ref	Umwelt2_1_S20_R1	Umwelt2_2_S21_R1	Umwelt2_3_S93_R1	Umwelt2_4_S94_R1	Umwelt2_5_S95_R1
1_CP014234_1_Moraxella_osloensis_strain_CCUG_350__complete_genome_BAC	2434688.0	43.85	84001.17	374898.93	0.0	0.0	3149.25
1_CP020442_2_Paracoccus_yeei_strain_FDAARGOS_252_chromosome__complete_genome_BAC	3622127.0	67.18	30798.48	95112.09	0.0	0.0	0.0
1_CP012647_1_Cutibacterium_acnes_strain_KCOM_1861____ChDC_B594__chromosome__complete_genome_BAC	2522438.0	59.99	41678.85	34803.38	0.0	12773.72	28023.73
1_1_1_2	242193529.0	40.23	37993.57	17787.58	3571.43	16423.36	17024.19
1_1_1_1	248956422.0	41.72	31997.66	21278.94	4464.29	16058.39	15152.9
1_1_1_3	198295559.0	39.67	30827.73	16832.05	0.0	14233.58	13920.58
1_1_1_4	190214555.0	38.24	29599.3	15362.0	0.0	12773.72	12733.91
1_1_1_5	181538259.0	39.51	28546.36	15325.25	0.0	12773.72	13555.45
1_1_1_6	170805979.0	39.61	29131.32	15362.0	0.0	12043.8	10314.92
1_1_1_7	159345973.0	40.7	26937.7	13487.69	0.0	9854.01	10360.57
1_1_1_8	145138636.0	40.16	23866.63	12532.16	0.0	10583.94	10269.28
1_1_1_11	135086622.0	41.54	21058.79	11650.13	0.0	7846.72	9356.46
1_1_1_12	133275309.0	40.77	19947.35	11135.61	0.0	8029.2	10041.08
1_1_1_10	133797422.0	41.54	19391.63	11356.12	0.0	11496.35	9219.53
1_CP016616_1_Microvirga_ossetica_strain_V5_3M_chromosome__complete_genome_BAC	5843140.0	63.49	584.97	2682.84	39732.14	0.0	35965.31
1_CP007440_1_Rhodoplanes_sp__Z2_YC6860__complete_genome_BAC	8193889.0	63.53	672.71	2168.32	28571.43	32299.27	32861.71
1_1_1_9	138394717.0	41.28	17110.27	9518.56	0.0	8029.2	8032.86
1_1_1_X	156040895.0	39.53	17665.98	8195.52	0.0	8211.68	8671.84
1_CP001854_1_Conexibacter_woesei_DSM_14684__complete_genome_BAC	6359369.0	72.73	2193.62	3417.86	22209.82	11861.31	27612.96
1_CP042968_1_Bradyrhizobium_paxllaeri_strain_LMTR_21_chromosome__complete_genome_BAC	8377719.0	62.51	0.0	1396.55	37388.39	17883.21	25832.95
1_1_1_13	114364328.0	38.55	15472.36	8085.26	0.0	8394.16	6252.85
1_CP015136_1_Luteitalea_pratensis_strain_DSM_100886__partial_sequence_BAC	7480314.0	67.22	0.0	2499.08	7589.29	22627.74	29666.82
1_CP016428_1_Bradyrhizobium_icense_strain_LMTR_13__complete_genome_BAC	8322773.0	62.03	0.0	1029.03	32366.07	15693.43	21725.24
1_1_1_14	107043718.0	40.83	14887.39	6578.46	0.0	5291.97	6252.85
1_1_1_17	83257441.0	45.32	11319.1	6615.21	0.0	7481.75	4746.69
1_1_1_18	80373285.0	39.78	11260.6	6137.45	0.0	3832.12	5979.01
1_1_1_16	90338345.0	44.58	10763.38	6174.2	0.0	4197.08	5294.39
1_1_1_15	101991189.0	42.03	11026.62	5586.18	0.0	4927.01	4518.48
1_1_1_20	64444167.0	43.8	9271.72	5880.19	0.0	4562.04	5340.03
