species	chr_length	gc_ref	Umwelt2_1_S20_R1	Umwelt2_2_S21_R1	Umwelt2_3_S93_R1	Umwelt2_4_S94_R1	Umwelt2_5_S95_R1
1_CP014234_1_Moraxella_osloensis_strain_CCUG_350__complete_genome_BAC	2434688.0	43.85	34502.64	153977.36	0.0	0.0	1293.59
1_CP020442_2_Paracoccus_yeei_strain_FDAARGOS_252_chromosome__complete_genome_BAC	3622127.0	67.18	8502.91	26258.12	0.0	0.0	0.0
1_CP012647_1_Cutibacterium_acnes_strain_KCOM_1861____ChDC_B594__chromosome__complete_genome_BAC	2522438.0	59.99	16523.65	13796.62	0.0	5061.46	11111.11
1_1_1_2	242193529.0	40.23	156.87	73.44	14.74	67.79	70.3
1_1_1_1	248956422.0	41.72	128.53	85.47	17.93	64.48	60.87
1_1_1_3	198295559.0	39.67	155.46	84.88	0.0	71.75	70.21
1_1_1_4	190214555.0	38.24	155.61	80.76	0.0	67.13	66.95
1_1_1_5	181538259.0	39.51	157.25	84.42	0.0	70.34	74.68
1_1_1_6	170805979.0	39.61	170.55	89.94	0.0	70.49	60.4
1_1_1_7	159345973.0	40.7	169.05	84.64	0.0	61.82	65.03
1_1_1_8	145138636.0	40.16	164.44	86.35	0.0	72.9	70.76
1_1_1_11	135086622.0	41.54	155.89	86.24	0.0	58.07	69.27
1_1_1_12	133275309.0	40.77	149.67	83.55	0.0	60.22	75.35
1_1_1_10	133797422.0	41.54	144.93	84.88	0.0	85.89	68.92
1_CP016616_1_Microvirga_ossetica_strain_V5_3M_chromosome__complete_genome_BAC	5843140.0	63.49	100.11	459.15	6799.08	0.0	6155.77
1_CP007440_1_Rhodoplanes_sp__Z2_YC6860__complete_genome_BAC	8193889.0	63.53	82.1	264.62	3486.31	3940.34	4011.14
1_1_1_9	138394717.0	41.28	123.63	68.78	0.0	58.0	58.05
1_1_1_X	156040895.0	39.53	113.21	52.52	0.0	52.61	55.58
1_CP001854_1_Conexibacter_woesei_DSM_14684__complete_genome_BAC	6359369.0	72.73	344.94	537.45	3491.84	1864.6	4342.83
1_CP042968_1_Bradyrhizobium_paxllaeri_strain_LMTR_21_chromosome__complete_genome_BAC	8377719.0	62.51	0.0	166.7	4462.5	2133.68	3083.96
1_1_1_13	114364328.0	38.55	135.29	70.7	0.0	73.37	54.68
1_CP015136_1_Luteitalea_pratensis_strain_DSM_100886__partial_sequence_BAC	7480314.0	67.22	0.0	334.09	1014.47	3023.65	3966.56
1_CP016428_1_Bradyrhizobium_icense_strain_LMTR_13__complete_genome_BAC	8322773.0	62.03	0.0	123.64	3888.44	1884.72	2610.65
1_1_1_14	107043718.0	40.83	139.08	61.46	0.0	49.42	58.42
1_1_1_17	83257441.0	45.32	135.95	79.46	0.0	89.83	57.02
1_1_1_18	80373285.0	39.78	140.1	76.36	0.0	47.66	74.4
1_1_1_16	90338345.0	44.58	119.15	68.35	0.0	46.44	58.61
1_1_1_15	101991189.0	42.03	108.11	54.77	0.0	48.29	44.31
1_1_1_20	64444167.0	43.8	143.87	91.24	0.0	70.77	82.87
1_1_1_19	58617616.0	47.94	131.23	93.42	0.0	84.02	64.63
1_CP011271_1_Gemmata_sp__SH_PL17__complete_genome_BAC	9045424.0	64.22	0.0	247.84	838.88	584.8	1579.53
1_CP007128_1_Gemmatirosa_kalamazoonesis_strain_KBS708__complete_genome_BAC	5311527.0	72.56	225.77	380.54	2773.11	1751.37	1246.13
1_CP001778_1_Stackebrandtia_nassauensis_DSM_44728__complete_genome_BAC	6841557.0	68.13	1744.26	0.0	0.0	0.0	0.0
1_CP002593_1_Pseudonocardia_dioxanivorans_CB1190__complete_genome_BAC	7096571.0	73.31	1487.86	0.0	0.0	0.0	244.44
1_CP020612_1_Paracoccus_contaminans_strain_RKI_16_01929T_LMG_29738T_CCM_8701T_CIP_111112T_chromosome__complete_genome_BAC	2939512.0	68.68	1641.79	2313.08	0.0	0.0	0.0
1_CP006958_1_UNVERIFIED__Achromobacter_xylosoxidans_NBRC_15126___ATCC_27061__complete_genome_BAC	6683584.0	67.53	398.23	555.37	684.59	1473.8	423.44
1_AM420293_1_Saccharopolyspora_erythraea_NRRL2338_complete_genome_BAC	8212805.0	71.15	1128.92	0.0	0.0	0.0	161.18
1_CP009110_1_Amycolatopsis_methanolica_239__complete_genome_BAC	7237391.0	71.53	1277.03	0.0	0.0	0.0	176.6
1_1_1_21	46709983.0	40.94	113.96	66.88	0.0	0.0	68.41
1_CP019082_1_Paludisphaera_borealis_strain_PX4__complete_genome_BAC	7497544.0	66.32	0.0	294.1	1071.59	778.59	986.3
1_CP010989_1_Pseudonocardia_sp__EC080625_04__complete_genome_BAC	6135769.0	73.84	1377.63	0.0	0.0	0.0	223.18
1_CP021112_1_Pseudorhodoplanes_sinuspersici_strain_RIPI110_chromosome__complete_genome_BAC	5971615.0	60.32	97.96	141.55	1046.53	1557.73	1184.83
1_CP011125_1_Sandaracinus_amylolyticus_strain_DSM_53668__complete_genome_BAC	10327335.0	72.04	0.0	160.14	561.92	759.58	702.79
1_CP020618_1_Staphylococcus_hominis_subsp__hominis_strain_K1_chromosome__complete_genome_BAC	2253412.0	31.36	1674.45	2038.49	0.0	0.0	729.19
1_AP012206_1_Bradyrhizobium_japonicum_USDA_6_DNA__complete_genome_BAC	9207384.0	63.67	0.0	0.0	2036.12	515.16	470.97
1_AP012057_1_Ilumatobacter_coccineus_YM16_304_DNA__complete_genome_BAC	4830181.0	67.29	187.72	175.0	716.27	1208.46	1597.2
1_1_1_22	50818468.0	47.0	89.21	51.35	0.0	0.0	49.4
1_CP002000_1_Amycolatopsis_mediterranei_U32__complete_genome_BAC	10236715.0	71.29	654.3	0.0	250.74	0.0	120.4
1_AE015929_1_Staphylococcus_epidermidis_ATCC_12228__complete_genome_BAC	2499279.0	32.1	1895.85	1235.11	0.0	0.0	493.15
